"iteration","p","R2","M_p","AIC","BIC","selected_by_Mp","selected_by_AIC","selected_by_BIC","subset_p","subset_Mp","subset_AIC","subset_BIC","support_true"
4,18,0.984802677406878,0.0547112598559377,-1581.32549111245,-1505.46254534085,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,19,0.984803412733495,0.0518317585649208,-1579.34968433475,-1499.27213046472,TRUE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,19","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,20,0.984803778400228,0.0492401889200114,-1577.36171569172,-1493.06955372328,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,19,20","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
5,1,0.492722052404905,0.492722052404905,544.202367225025,548.416975323447,FALSE,FALSE,FALSE,"16","1","6","16","16,19,20"
5,2,0.864008925390837,0.432004462695418,-112.032541661704,-103.60332546486,FALSE,FALSE,FALSE,"16,19","1,2","6,16","16,19","16,19,20"
5,3,0.993654407171831,0.331218135723944,-1642.44690494734,-1629.80308065207,FALSE,FALSE,TRUE,"16,19,20","1,2,4","6,16,19","16,19,20","16,19,20"
5,4,0.993690635240704,0.248422658810176,-1643.30966980376,-1626.45123741007,FALSE,TRUE,FALSE,"16,19,20,1","1,2,4,5","6,16,19,20","16,19,20","16,19,20"
5,5,0.993715318641126,0.198743063728225,-1643.26959847136,-1622.19655797925,FALSE,FALSE,FALSE,"16,19,20,1,2","1,2,4,5,6","6,16,19,20","16,19,20","16,19,20"
5,6,0.993731334198993,0.165621889033166,-1642.54539896921,-1617.25775037868,FALSE,FALSE,FALSE,"16,19,20,1,2,3","1,2,4,5,6,7","6,16,19,20","16,19,20","16,19,20"
5,7,0.993748618773469,0.14196408839621,-1641.92595172746,-1612.4236950385,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4","1,2,4,5,6,7,8","6,16,19,20","16,19,20","16,19,20"
5,8,0.993766321971171,0.124220790246396,-1641.34390331299,-1607.62703852561,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5","1,2,4,5,6,7,8,9","6,16,19,20","16,19,20","16,19,20"
5,9,0.99378237075477,0.110420263417197,-1640.63282761087,-1602.70135472507,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6","1,2,4,5,6,7,8,9,10","6,16,19,20","16,19,20","16,19,20"
5,10,0.993794039157037,0.0993794039157037,-1639.57204128547,-1597.42596030125,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7","1,2,4,5,6,7,8,9,10,11","6,16,19,20","16,19,20","16,19,20"
5,11,0.993804102175189,0.0903458274704717,-1638.38345356079,-1592.02276447815,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7,8","1,2,4,5,6,7,8,9,10,11,12","6,16,19,20","16,19,20","16,19,20"
5,12,0.993812090175149,0.0828176741812624,-1637.02848950563,-1586.45319232457,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7,8,9","1,2,4,5,6,7,8,9,10,11,12,13","6,16,19,20","16,19,20","16,19,20"
5,13,0.993818007255119,0.0764475390196245,-1635.50683445522,-1580.71692917573,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7,8,9,10","1,2,4,5,6,7,8,9,10,11,12,13,14","6,16,19,20","16,19,20","16,19,20"
5,14,0.993822443863959,0.0709873174188542,-1633.86579650748,-1574.86128312956,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7,8,9,10,11","1,2,4,5,6,7,8,9,10,11,12,13,14,15","6,16,19,20","16,19,20","16,19,20"
5,15,0.993824531324572,0.0662549687549715,-1632.03478027175,-1568.81565879542,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7,8,9,10,11,12","1,2,4,5,6,7,8,9,10,11,12,13,14,15,16","6,16,19,20","16,19,20","16,19,20"
5,16,0.993826284870062,0.0621141428043789,-1630.17677714615,-1562.7430475714,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17","6,16,19,20","16,19,20","16,19,20"
5,17,0.993827064889824,0.0584604155817544,-1628.23995377688,-1556.5916161037,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14","1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","6,16,19,20","16,19,20","16,19,20"
5,18,0.99382773051353,0.0552126516951961,-1626.29387136899,-1550.43092559739,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","6,16,19,20","16,19,20","16,19,20"
5,19,0.993827979526104,0.0523067357645318,-1624.31404365718,-1544.23648978716,TRUE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17","1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","6,16,19,20","16,19,20","16,19,20"
5,20,0.993828020460659,0.0496914010230329,-1622.31735980709,-1538.02519783865,FALSE,FALSE,FALSE,"16,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18","1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","6,16,19,20","16,19,20","16,19,20"
6,1,0.669316272157994,0.669316272157994,-105.478765003855,-101.264156905433,FALSE,FALSE,FALSE,"17","11","8","11","11,13,17"
6,2,0.875996865677559,0.43799843283878,-593.906550755178,-585.477334558334,TRUE,FALSE,FALSE,"17,11","11,17","8,11","11,13","11,13,17"
6,3,0.983653500708104,0.327884500236035,-1605.05308987944,-1592.40926558417,FALSE,FALSE,TRUE,"17,11,13","11,17","8,11,13","11,13,17","11,13,17"
